year,cpi_avg
1913,9.883333
1914,10.016667
1915,10.108333
1916,10.883333
1917,12.825
1918,15.041667
1919,17.333333
1920,20.041667
1921,17.85
1922,16.75
1923,17.05
1924,17.125
1925,17.541667
1926,17.7
1927,17.358333
1928,17.158333
1929,17.158333
1930,16.7
1931,15.208333
1932,13.641667
1933,12.933333
1934,13.383333
1935,13.725
1936,13.866667
1937,14.383333
1938,14.091667
1939,13.908333
1940,14.008333
1941,14.725
1942,16.333333
1943,17.308333
1944,17.591667
1945,17.991667
1946,19.516667
1947,22.325
1948,24.041667
1949,23.808333
1950,24.066667
1951,25.958333
1952,26.55
1953,26.766667
1954,26.85
1955,26.775
1956,27.183333
1957,28.091667
1958,28.858333
1959,29.15
1960,29.575
1961,29.891667
1962,30.25
1963,30.625
1964,31.016667
1965,31.508333
1966,32.458333
1967,33.358333
1968,34.783333
1969,36.683333
1970,38.825
1971,40.491667
1972,41.816667
1973,44.4
1974,49.308333
1975,53.816667
1976,56.908333
1977,60.608333
1978,65.233333
1979,72.575
1980,82.408333
1981,90.925
1982,96.5
1983,99.6
1984,103.883333
1985,107.566667
1986,109.608333
1987,113.625
1988,118.258333
1989,123.966667
1990,130.658333
1991,136.191667
1992,140.316667
1993,144.458333
1994,148.225
1995,152.383333
1996,156.85
1997,160.516667
1998,163.008333
1999,166.575
2000,172.2
2001,177.066667
2002,179.875
2003,183.958333
2004,188.883333
2005,195.291667
2006,201.591667
2007,207.342417
2008,215.3025
2009,214.537
2010,218.0555
2011,224.939167
2012,229.593917
2013,232.957083
2014,236.736167
2015,237.017
2016,240.007167
2017,245.119583
2018,251.106833
2019,255.657417
2020,258.811167
2021,270.96975
2022,292.654917
2023,304.701583
2024,313.688833
2025,321.943
2026,325.252
